Adlam	Phonetic	Part of Speech	Definitions	Tags
𞤲𞤮𞤼𞤢𞤩𞤢	notaɓa	verb	equivalence copula	
𞤲𞤮𞤼𞤢𞤼𞤢	notata	noun (G1/G2)	heart	
𞤳𞤢𞤩𞤫𞤺𞤢	kaɓɛga	noun (G3)	berry	
𞤳𞤫𞤣𞤭	kɛdi	pronoun	distal demonstrative	
𞤳𞤭𞤤𞤮𞤥𞤢	kiloma	noun (G2)	small bird	
𞤳𞤭𞤬𞤮𞤼𞤢	kiθota	noun (G1/G2)	head	
𞤳𞤭𞤯𞤭	kiɗi	adverb	however; marks the affected verb in opposition to a prior predicate	
𞤳𞤭𞤼𞤭	kiti	number	two	
𞤳𞤮𞤥𞤫𞤺𞤢	komɛga	noun (G3)	window	
𞤳𞤮𞤦𞤢𞤺𞤫𞤺𞤢	kobagɛga	noun (G3)	needle; splinter; small thin sharp object	
𞤳𞤮𞤦𞤫𞤥𞤢	kobɛma	noun (G2)	dog	
𞤳𞥇𞤢	kʼa	verb	sit	
𞤳𞥇𞤢𞤨𞤮𞤨𞥇𞤢	kʼapopʼa	verb	desire, wish	
𞤳𞥇𞤢𞤸𞤢	kʼaɬa	adverb	so that; marks affected verb as purpose behind something else	
𞤳𞥇𞤫𞤦𞤮𞤤𞤢	kʼɛbola	verb	stab; poke	
𞤳𞥇𞤫𞤳𞤢𞤺𞤢	kʼɛkaga	noun (G3)	thing; something indeterminate or unspecified	
𞤳𞥇𞤭𞤼𞤫𞤹𞤫𞤳𞤮𞤺𞤭	kʼitɛqɛkogi	noun (G5)	failure	
𞤸𞤢	ɬa	verb	eat (involves chewing)	
𞤸𞤢𞤩𞤫𞤼𞤢	ɬaɓɛta	noun (G1)	hand	
𞤸𞤢𞤬𞤢𞤥𞤢	ɬaθama	noun (G2)	rain	
𞤹𞤢𞤤𞤫𞤼𞤢	qalɛta	noun (G1/G2)	mouth	
𞤹𞤢𞤹𞥇𞤮𞤥𞤢	qaqʼoma	noun (G2)	fish	
𞤹𞤢𞤼𞥇𞤫𞤨𞥇𞤮	qatʼɛpʼo	modifier	skillful	
𞤹𞤢𞤼𞥇𞤮𞤺𞤭	qatʼogi	noun (G5)	skill, ability, talent	
𞤹𞤫𞤣𞤭𞤥𞤫𞤹𞤮	qɛdimɛqo	noun (G4)	mountain	
𞤹𞤫𞤨𞥇𞤢𞤩𞤢	qɛpʼaɓa	verb	existential copula	
𞤹𞤫𞤨𞥇𞤢𞤼𞤢	qɛpʼata	noun (G1/G2)	body	
𞤹𞤭	qi	pronoun	2SG	
𞤹𞤭𞤲𞤫𞤥𞤢	qinɛma	noun (G2)	river	
𞤹𞤮𞤲𞤢	qona	pronoun	2DU	
𞤹𞥇𞤢𞤥𞤫𞤹𞥇𞤭	qʼamɛqʼi	noun (G5)	story	
𞤹𞥇𞤢𞤬𞤢	qʼaθa	verb	speak	
𞤹𞥇𞤢𞤬𞤫𞤩𞤮𞤺𞤭	qʼaθɛɓogi	noun (G5)	language	
𞤹𞥇𞤫𞤨𞤢𞤲𞤢	qʼɛpana	verb	steal; take	
𞤹𞥇𞤫𞤩𞤢	qʼɛɓa	number	nine	
𞤹𞥇𞤭𞤩𞤫𞤳𞥇𞤢	qʼiɓɛkʼa	verb	lose (a possession); misplace	
𞤹𞥇𞤮𞤩𞤢	qʼoɓa	pronoun	2PAU	
𞤹𞥇𞤮𞤹𞤫𞤩𞤢	qʼoqɛɓa	verb	property copula	
𞤹𞥇𞤮𞤹𞤫𞤼𞤢	qʼoqɛta	noun (G1)	face	
𞤺𞤢𞤣𞤢𞤬𞤢	gadaθa	verb	arrange	
𞤺𞤢𞤣𞤢𞤬𞤮𞤸𞤫𞤤𞤭𞤺𞤭	gadaθoɬɛligi	noun (G5)	arrangement; grammar	
𞤺𞤢𞤬𞤮	gaθo	pronoun	3DU	
𞤺𞤫𞤩𞤢	gɛɓa	pronoun	3PAU	
𞤺𞤭	gi	pronoun	3SG	
𞤺𞤮𞤲𞤢	gona	modifier	still, calm	
𞤺𞤮𞤲𞤫𞤨𞤭	gonɛpi	noun (G5)	calmness	
𞤺𞤮𞤹𞤭	goqi	number	five	
𞤺𞤮𞤺𞤭	gogi	pronoun	3PL	
𞤼𞤢	ta	verb	throw (pottery)	
𞤼𞤢𞤳𞥇𞤮	takʼo	adverb	thus; marks the affected verb as the result of another event	
𞤼𞤫𞤬𞤮𞤺𞤢	tɛθoga	noun (G3)	egg	
𞤼𞤫𞤹𞤫𞤳𞤮𞤺𞤭	tɛqɛkogi	noun (G5)	success	
𞤼𞤭𞤳𞤭𞤥𞤮𞤹𞥇𞤢𞤹𞤮	tikimoqʼaqo	noun (G4)	beehive	
𞤼𞥇𞤢𞤹𞤢	tʼaqa	verb	wear (clothing)	
𞤼𞥇𞤢𞤹𞤫𞤥𞤢	tʼaqɛma	noun (G2)	road/path	
𞤼𞥇𞤢𞤼𞤢𞤥𞤢	tʼatama	noun (G2)	snow	
𞤼𞥇𞤫𞤬𞤢𞤩𞤢	tʼɛθaɓa	verb	locational copula	
𞤼𞥇𞤫𞤬𞤢𞤼𞤢	tʼɛθata	noun (G1/G2)	foot	
